model,params_total,params_trainable,src_vocab_size,trg_vocab_size,best_dev_loss,test_exact_match,test_slot_f1,bleu1,bleu2,bleu3,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,train_time_sec,inference_ms_per_sample,epochs,seed,selection_metric,best_metric_value,best_dev_slot_f1,early_stopping_patience,min_epochs
rnn,4178468,4178468,6213,2340,1.216288493739234,0.005291005291005291,0.5175107079868985,0.4211296126169016,0.29512685997556315,0.18549200782643205,0.10409172042057364,0.4774226147980029,0.2416748081443844,0.47720648134985316,114.6546709999966,0.4547101284970382,10,42,slot_f1,0.5332751091703056,0.5332751091703056,4,5
rnn,4178468,4178468,6213,2340,1.3848591711786058,0.005039052658100277,0.5143613000755858,0.4047134295405543,0.2856156267678856,0.1772771924262859,0.09156871399885197,0.4772229482459739,0.24340045262278737,0.4772229482459739,69.53825399999914,0.5641521038053307,6,43,slot_f1,0.5273362445414848,0.5273362445414848,4,5
rnn,4178468,4178468,6213,2340,1.2619110991557438,0.005039052658100277,0.5141849332325523,0.41060144324348297,0.28987085945268765,0.18101414532979052,0.09715199601861807,0.4759310973493664,0.24363521934086343,0.4758738353873425,81.29697190000297,0.5679660619792178,7,44,slot_f1,0.5256768558951965,0.5256768558951965,4,5
lstm,6543908,6543908,6213,2340,0.6079368272589313,0.20080624842529604,0.8196502368712831,0.8315610378562314,0.7668721467100706,0.7083823761596835,0.6663355507459743,0.8211186142228724,0.6856528532605841,0.8211186142228724,162.77366049999546,0.5522082388503485,15,42,slot_f1,0.8448034934497817,0.8448034934497817,4,5
lstm,6543908,6543908,6213,2340,0.5173430836552547,0.5709246661627614,0.8891436345771082,0.8848532305344737,0.8458929166954268,0.8141108667512914,0.7881012602809124,0.8812033576103196,0.7965768807765745,0.8810295971738334,176.10930199999711,0.6687404383973075,15,43,slot_f1,0.8965065502183406,0.8965065502183406,4,5
lstm,6543908,6543908,6213,2340,0.6190563463088539,0.23381204333585287,0.8386779733629022,0.8473223845019494,0.787235440238876,0.733455082055766,0.6939184016950671,0.839144809463802,0.712957052684146,0.8391274334201534,194.15828009999677,0.5518986646505384,15,44,slot_f1,0.846970425057883,0.846970425057883,4,5
gru,5755428,5755428,6213,2340,0.7069890370799435,0.15772234819853867,0.8064211282335597,0.816676749344626,0.7465042004110969,0.6835057330041959,0.6380695459193566,0.8074491481186425,0.6609755559918903,0.8074491481186425,160.8683721999987,0.5187760644987465,15,42,slot_f1,0.8142358078602621,0.8142358078602621,4,5
gru,5755428,5755428,6213,2340,0.6938556861132383,0.15973796926177877,0.795197722319505,0.7951850235989371,0.7236113201122213,0.6595514543877381,0.6141684049452756,0.7967978237745615,0.6489296990455091,0.7967662989094473,156.53584509999928,0.5151573948109243,15,43,slot_f1,0.8085589519650656,0.8085589519650656,4,5
gru,5755428,5755428,6213,2340,0.6187357438935174,0.20987654320987653,0.8358024691358025,0.8412973408541499,0.7779681951947937,0.7203300672579894,0.6787244015850096,0.8361415338085398,0.7051179994332292,0.8361415338085398,152.4278398000024,0.5025422272619865,15,44,slot_f1,0.8556331877729257,0.8556331877729257,4,5
transformer,6745636,6745636,6213,2340,0.5148238187862767,0.6434870244394054,0.925046302712646,0.922021689867271,0.8926290271591423,0.8684830023853093,0.8487500656377213,0.9200856019086846,0.8577580597795448,0.9200856019086846,446.36608590000105,16.792218140590567,15,42,slot_f1,0.9318479685452163,0.9318479685452163,4,5
transformer,6745636,6745636,6213,2340,0.5243877364684724,0.6520534139581758,0.9206129186723455,0.9206635339868752,0.8910267002882513,0.8668551627404361,0.8468718443433793,0.9163547043395514,0.8524668499397866,0.9163547043395514,452.5474641999972,16.77190607205831,15,43,slot_f1,0.9273703978687164,0.9273703978687164,4,5
transformer,6745636,6745636,6213,2340,0.5071038003079593,0.6308893927941547,0.920892494929006,0.919269572235674,0.8876174254882161,0.8606724283596788,0.8388278941108847,0.9188835892728882,0.8517154110968418,0.9188510792557392,418.3021965000007,16.68678379944593,14,44,slot_f1,0.9250589571141584,0.9250589571141584,4,5
