model,n_seeds,params_total,params_trainable,src_vocab_size,trg_vocab_size,selection_metric,early_stopping_patience,min_epochs,best_dev_loss_mean,best_dev_loss_std,best_dev_slot_f1_mean,best_dev_slot_f1_std,test_exact_match_mean,test_exact_match_std,test_slot_f1_mean,test_slot_f1_std,bleu1_mean,bleu1_std,bleu2_mean,bleu2_std,bleu3_mean,bleu3_std,bleu4_mean,bleu4_std,rouge1_f1_mean,rouge1_f1_std,rouge2_f1_mean,rouge2_f1_std,rougeL_f1_mean,rougeL_f1_std,train_time_sec_mean,train_time_sec_std,inference_ms_per_sample_mean,inference_ms_per_sample_std,best_epoch_mean,best_epoch_std
rnn,3,4178468,4178468,6213,2340,slot_f1,4,5,1.2876862546911945,0.08719109647922596,0.5287627365356623,0.003994937141591345,0.005123036869068615,0.00014546492043074463,0.5153523137650122,0.0018713031632085822,0.41214816180031294,0.008316671234308229,0.2902044487320455,0.004764383552799238,0.1812611151941695,0.004112972598991285,0.0976041434793479,0.0062737349684461406,0.47685888679778105,0.0008096676036757225,0.24290349336934508,0.0010705276220194045,0.47676775499438984,0.0007742008702944712,88.49663229999958,23.404040316489677,0.5289427647605289,0.0643156262832667,3.6666666666666665,2.0816659994661326
lstm,3,6543908,6543908,6213,2340,slot_f1,4,5,0.5814454190743467,0.05579196161286786,0.8627601562420018,0.029245311213137316,0.33518098597463675,0.2048259204444106,0.8491572816037645,0.03591232388860748,0.8545788842975515,0.02737712625672036,0.8000001678814578,0.04102772509062144,0.7519827749889136,0.05524567842613291,0.7161184042406513,0.06384631617724462,0.8471555937656646,0.030832995245873775,0.7317289289071015,0.05779552294762564,0.8470918816056198,0.030739320026829175,177.68041419999645,15.751186686022635,0.5909491139660648,0.06736944097008254,14.666666666666666,0.5773502691896257
gru,3,5755428,5755428,6213,2340,slot_f1,4,5,0.6731934890288997,0.04761675892820049,0.8261426491994178,0.02569680081703513,0.17577895355673132,0.029546571665480085,0.8124737732296224,0.02096812460832338,0.8177197045992376,0.02307384379354014,0.749361238572704,0.027290831198009586,0.6877957515499745,0.030615570220891085,0.6436541174832139,0.03263831728507491,0.8134628352339146,0.02034957504101089,0.6716744181568762,0.029582604919685326,0.8134523269455433,0.020362487516521418,156.61068570000012,4.2207638687094535,0.5121585621905524,0.008522271743564529,14.333333333333334,1.1547005383792515
transformer,3,6745636,6745636,6213,2340,slot_f1,4,5,0.5154384518542361,0.008658345260865065,0.9280924411760304,0.003451619758314413,0.6421432770639119,0.010645806250098817,0.9221839054379992,0.0024828470229257306,0.9206515986966067,0.0013760976356720145,0.8904243843118699,0.0025595167959129935,0.8653368644951414,0.004120702467263553,0.8448166013639951,0.005270710552688585,0.9184412985070414,0.0019043673513810574,0.8539801069387244,0.0032933054571765256,0.9184304618346584,0.0019006810434758889,439.07191553333297,18.250706314129033,16.750302670698268,0.055938629639035654,12.666666666666666,2.309401076758503
